description,industry,level,size,line_code,value,Unit,Footnotes
Regular communication with employees about: goals: not applicable,Construction,1,total,C0902.04,651,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Wholesale trade,1,total,C0902.04,198,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Machinery & equipment wholesaling,2,total,C0902.04,51,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Other wholesale trade,2,total,C0902.04,147,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Retail trade,1,total,C0902.04,117,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Accommodation & food services,1,total,C0902.04,816,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,"Transport, postal, & warehousing",1,total,C0902.04,162,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Information media & telecommunications,1,total,C0902.04,12,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Publishing,2,total,C0902.04,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Motion picture,2,total,C0902.04,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Telecommunications,2,total,C0902.04,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Financial & insurance services,1,total,C0902.04,30,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Finance,2,total,C0902.04,15,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Insurance,2,total,C0902.04,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Auxiliary,2,total,C0902.04,18,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,"Rental, hiring, & real estate services",1,total,C0902.04,78,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,"Professional, scientific, & technical services",1,total,C0902.04,129,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Computer systems design,2,total,C0902.04,24,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Other professional scientific,2,total,C0902.04,111,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Administrative & support services,1,total,C0902.04,72,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Education & training,1,total,C0902.04,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Health care & social assistance,1,total,C0902.04,99,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Arts & recreation services,1,total,C0902.04,33,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,Other services,1,total,C0902.04,114,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: goals: not applicable,total,0,total,C0902.04,3144,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,total,0,6–19 employees,C0903.01,27867,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: yes,total,0,20–49 employees,C0903.01,7500,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: yes,total,0,50–99 employees,C0903.01,2229,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: yes,total,0,100+ employees,C0903.01,1947,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: yes,"Agriculture, forestry, & fishing",1,total,C0903.01,3087,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Agriculture,2,total,C0903.01,2097,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Commercial fishing,2,total,C0903.01,51,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Forestry & logging,2,total,C0903.01,228,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Agriculture, forestry, & fishing support services",2,total,C0903.01,711,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Mining,1,total,C0903.01,96,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: major changes: yes,Manufacturing,1,total,C0903.01,4419,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Food, beverage, & tobacco",2,total,C0903.01,1053,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Textile, clothing, footwear, & leather",2,total,C0903.01,192,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Wood & paper product,2,total,C0903.01,441,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Printing, publishing, & recorded media",2,total,C0903.01,159,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Petroleum, coal, chemical, & associated product",2,total,C0903.01,360,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Non-metallic mineral product,2,total,C0903.01,180,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Metal product,2,total,C0903.01,732,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Transport and industrial machinery & equipment,2,total,C0903.01,795,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Other machinery & equipment,2,total,C0903.01,201,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Other manufacturing,2,total,C0903.01,303,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Electricity, gas, water, & waste services",1,total,C0903.01,180,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: major changes: yes,Construction,1,total,C0903.01,5634,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Wholesale trade,1,total,C0903.01,2619,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Machinery & equipment wholesaling,2,total,C0903.01,822,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Other wholesale trade,2,total,C0903.01,1797,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Retail trade,1,total,C0903.01,4239,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Accommodation & food services,1,total,C0903.01,4896,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Transport, postal, & warehousing",1,total,C0903.01,1305,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Information media & telecommunications,1,total,C0903.01,408,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Publishing,2,total,C0903.01,162,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Motion picture,2,total,C0903.01,132,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Telecommunications,2,total,C0903.01,111,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Financial & insurance services,1,total,C0903.01,657,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Finance,2,total,C0903.01,195,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Insurance,2,total,C0903.01,36,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Auxiliary,2,total,C0903.01,432,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Rental, hiring, & real estate services",1,total,C0903.01,879,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,"Professional, scientific, & technical services",1,total,C0903.01,4473,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Computer systems design,2,total,C0903.01,879,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Other professional scientific,2,total,C0903.01,3597,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Administrative & support services,1,total,C0903.01,1518,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Education & training,1,total,C0903.01,1077,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Health care & social assistance,1,total,C0903.01,2562,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Arts & recreation services,1,total,C0903.01,441,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,Other services,1,total,C0903.01,1044,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: yes,total,0,total,C0903.01,39543,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,total,0,6–19 employees,C0903.02,3408,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: no,total,0,20–49 employees,C0903.02,633,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: no,total,0,50–99 employees,C0903.02,183,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: no,total,0,100+ employees,C0903.02,93,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: no,"Agriculture, forestry, & fishing",1,total,C0903.02,306,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Agriculture,2,total,C0903.02,159,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Commercial fishing,2,total,C0903.02,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Forestry & logging,2,total,C0903.02,21,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Agriculture, forestry, & fishing support services",2,total,C0903.02,126,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Mining,1,total,C0903.02,12,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: major changes: no,Manufacturing,1,total,C0903.02,489,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Food, beverage, & tobacco",2,total,C0903.02,45,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Textile, clothing, footwear, & leather",2,total,C0903.02,36,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Wood & paper product,2,total,C0903.02,42,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Printing, publishing, & recorded media",2,total,C0903.02,27,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Petroleum, coal, chemical, & associated product",2,total,C0903.02,30,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Non-metallic mineral product,2,total,C0903.02,18,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Metal product,2,total,C0903.02,168,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Transport and industrial machinery & equipment,2,total,C0903.02,51,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Other machinery & equipment,2,total,C0903.02,24,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Other manufacturing,2,total,C0903.02,48,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Electricity, gas, water, & waste services",1,total,C0903.02,9,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: major changes: no,Construction,1,total,C0903.02,714,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Wholesale trade,1,total,C0903.02,393,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Machinery & equipment wholesaling,2,total,C0903.02,51,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Other wholesale trade,2,total,C0903.02,342,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Retail trade,1,total,C0903.02,507,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Accommodation & food services,1,total,C0903.02,660,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Transport, postal, & warehousing",1,total,C0903.02,120,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Information media & telecommunications,1,total,C0903.02,27,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Publishing,2,total,C0903.02,9,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Motion picture,2,total,C0903.02,9,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Telecommunications,2,total,C0903.02,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Financial & insurance services,1,total,C0903.02,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Finance,2,total,C0903.02,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Insurance,2,total,C0903.02,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Auxiliary,2,total,C0903.02,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Rental, hiring, & real estate services",1,total,C0903.02,66,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,"Professional, scientific, & technical services",1,total,C0903.02,375,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Computer systems design,2,total,C0903.02,54,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Other professional scientific,2,total,C0903.02,321,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Administrative & support services,1,total,C0903.02,207,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Education & training,1,total,C0903.02,48,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Health care & social assistance,1,total,C0903.02,123,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Arts & recreation services,1,total,C0903.02,66,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,Other services,1,total,C0903.02,186,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: no,total,0,total,C0903.02,4317,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,total,0,6–19 employees,C0903.03,1419,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: don't know,total,0,20–49 employees,C0903.03,213,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: don't know,total,0,50–99 employees,C0903.03,51,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: don't know,total,0,100+ employees,C0903.03,27,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: don't know,"Agriculture, forestry, & fishing",1,total,C0903.03,84,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Agriculture,2,total,C0903.03,45,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Commercial fishing,2,total,C0903.03,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Forestry & logging,2,total,C0903.03,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,"Agriculture, forestry, & fishing support services",2,total,C0903.03,33,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Mining,1,total,C0903.03,9,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: major changes: don't know,Manufacturing,1,total,C0903.03,162,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,"Food, beverage, & tobacco",2,total,C0903.03,18,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,"Textile, clothing, footwear, & leather",2,total,C0903.03,9,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Wood & paper product,2,total,C0903.03,9,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,"Printing, publishing, & recorded media",2,total,C0903.03,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,"Petroleum, coal, chemical, & associated product",2,total,C0903.03,33,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Non-metallic mineral product,2,total,C0903.03,9,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Metal product,2,total,C0903.03,39,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Transport and industrial machinery & equipment,2,total,C0903.03,42,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Other machinery & equipment,2,total,C0903.03,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Other manufacturing,2,total,C0903.03,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,"Electricity, gas, water, & waste services",1,total,C0903.03,6,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: major changes: don't know,Construction,1,total,C0903.03,270,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Wholesale trade,1,total,C0903.03,30,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Machinery & equipment wholesaling,2,total,C0903.03,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Other wholesale trade,2,total,C0903.03,27,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Retail trade,1,total,C0903.03,108,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Accommodation & food services,1,total,C0903.03,624,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,"Transport, postal, & warehousing",1,total,C0903.03,72,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Information media & telecommunications,1,total,C0903.03,9,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Publishing,2,total,C0903.03,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Motion picture,2,total,C0903.03,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Telecommunications,2,total,C0903.03,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Financial & insurance services,1,total,C0903.03,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Finance,2,total,C0903.03,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Insurance,2,total,C0903.03,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Auxiliary,2,total,C0903.03,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,"Rental, hiring, & real estate services",1,total,C0903.03,33,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,"Professional, scientific, & technical services",1,total,C0903.03,81,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Computer systems design,2,total,C0903.03,30,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Other professional scientific,2,total,C0903.03,54,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Administrative & support services,1,total,C0903.03,24,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Education & training,1,total,C0903.03,33,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Health care & social assistance,1,total,C0903.03,114,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Arts & recreation services,1,total,C0903.03,12,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,Other services,1,total,C0903.03,33,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: don't know,total,0,total,C0903.03,1710,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,total,0,6–19 employees,C0903.04,2862,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: not applicable,total,0,20–49 employees,C0903.04,426,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: not applicable,total,0,50–99 employees,C0903.04,69,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: not applicable,total,0,100+ employees,C0903.04,36,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: major changes: not applicable,"Agriculture, forestry, & fishing",1,total,C0903.04,276,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Agriculture,2,total,C0903.04,153,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Commercial fishing,2,total,C0903.04,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Forestry & logging,2,total,C0903.04,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,"Agriculture, forestry, & fishing support services",2,total,C0903.04,117,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Mining,1,total,C0903.04,9,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: major changes: not applicable,Manufacturing,1,total,C0903.04,336,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,"Food, beverage, & tobacco",2,total,C0903.04,114,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,"Textile, clothing, footwear, & leather",2,total,C0903.04,15,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Wood & paper product,2,total,C0903.04,24,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,"Printing, publishing, & recorded media",2,total,C0903.04,12,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,"Petroleum, coal, chemical, & associated product",2,total,C0903.04,21,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Non-metallic mineral product,2,total,C0903.04,3,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Metal product,2,total,C0903.04,63,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Transport and industrial machinery & equipment,2,total,C0903.04,57,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Other machinery & equipment,2,total,C0903.04,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Other manufacturing,2,total,C0903.04,18,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,"Electricity, gas, water, & waste services",1,total,C0903.04,12,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: major changes: not applicable,Construction,1,total,C0903.04,822,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Wholesale trade,1,total,C0903.04,186,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Machinery & equipment wholesaling,2,total,C0903.04,78,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Other wholesale trade,2,total,C0903.04,108,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Retail trade,1,total,C0903.04,204,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Accommodation & food services,1,total,C0903.04,594,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,"Transport, postal, & warehousing",1,total,C0903.04,180,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Information media & telecommunications,1,total,C0903.04,18,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Publishing,2,total,C0903.04,9,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Motion picture,2,total,C0903.04,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Telecommunications,2,total,C0903.04,6,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Financial & insurance services,1,total,C0903.04,24,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Finance,2,total,C0903.04,15,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Insurance,2,total,C0903.04,0,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Auxiliary,2,total,C0903.04,12,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,"Rental, hiring, & real estate services",1,total,C0903.04,66,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,"Professional, scientific, & technical services",1,total,C0903.04,261,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Computer systems design,2,total,C0903.04,30,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Other professional scientific,2,total,C0903.04,234,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Administrative & support services,1,total,C0903.04,93,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Education & training,1,total,C0903.04,27,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Health care & social assistance,1,total,C0903.04,114,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Arts & recreation services,1,total,C0903.04,45,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,Other services,1,total,C0903.04,117,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: major changes: not applicable,total,0,total,C0903.04,3393,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: potential improvements: yes,total,0,6–19 employees,C0904.01,29799,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: potential improvements: yes,total,0,20–49 employees,C0904.01,7761,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: potential improvements: yes,total,0,50–99 employees,C0904.01,2190,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: potential improvements: yes,total,0,100+ employees,C0904.01,1845,Number of businesses,1 and 2 and 3 and 4 and 6
Regular communication with employees about: potential improvements: yes,"Agriculture, forestry, & fishing",1,total,C0904.01,3144,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: potential improvements: yes,Agriculture,2,total,C0904.01,2145,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: potential improvements: yes,Commercial fishing,2,total,C0904.01,51,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: potential improvements: yes,Forestry & logging,2,total,C0904.01,228,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: potential improvements: yes,"Agriculture, forestry, & fishing support services",2,total,C0904.01,723,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: potential improvements: yes,Mining,1,total,C0904.01,93,Number of businesses,1 and 2 and 3 and 5 and 6
Regular communication with employees about: potential improvements: yes,Manufacturing,1,total,C0904.01,4590,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: potential improvements: yes,"Food, beverage, & tobacco",2,total,C0904.01,1077,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: potential improvements: yes,"Textile, clothing, footwear, & leather",2,total,C0904.01,213,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: potential improvements: yes,Wood & paper product,2,total,C0904.01,429,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: potential improvements: yes,"Printing, publishing, & recorded media",2,total,C0904.01,159,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: potential improvements: yes,"Petroleum, coal, chemical, & associated product",2,total,C0904.01,372,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: potential improvements: yes,Non-metallic mineral product,2,total,C0904.01,198,Number of businesses,1 and 2 and 3 and 6
Regular communication with employees about: potential improvements: yes,Metal product,2,total,C0904.01,798,Number of businesses,1 and 2 and 3 and 6
